id,year,std_math_score,l2std_math_score,l1std_math_score,l1std_ita_score,l3perc_math_score,l1perc_math_score,l2std_ita_score,l3std_math_score,l3std_ita_score,l3unempl_rate_chg,dummy_Calabria,turnout_ref_2016,avg_temperature_min,l3log_tot_income_chg,l1sd_math_score_chg,share_hsgraduates_2564,l1perc_ita_score_chg,l2perc_ita_score,l2perc_math_score,l2sd_math_score_chg,l3log_tot_income
1934,2017,-.90776843,-1.7866286,2.4244425,1.4625514,52.225494,67.492035,-.47837451,.058367807,-.58412468,1.092,0,.51489389,13.663303,-.014062881,12.488536,51.456001,27.172737,59.226067,63.386646,-8.8986073,18.785942
1934,2018,2.0139148,2.4244425,-.90776843,-.34114945,63.386646,53.715149,-3.0879288,-1.7866286,-.47837451,-1.224,0,.51489389,13.663303,.0056343079,1.3735842,51.456001,-15.238637,43.073593,45.977425,12.488536,18.771879
1934,2019,.95691293,-.90776843,2.0139148,.33771956,45.977425,59.988438,1.4625514,2.4244425,-3.0879288,.25799999,0,.51489389,13.663303,-.0090732574,-6.2669487,51.456001,7.762629,70.24633,67.492035,1.3735842,18.777514
1934,2020,1.4659168,2.0139148,.95691293,.9397648,67.492035,63.903255,-.34114945,-.90776843,1.4625514,-.88599998,0,.51489389,13.663303,-.020187378,-5.4648771,51.456001,1.7963271,55.007694,53.715149,-6.2669487,18.76844
1935,2017,-.51795548,.83368993,.94173235,.1892641,57.153076,60.903267,.121038,.66071874,-.95699704,2.348,0,.59248585,12.65651,-.011505127,-2.1853104,49.213333,2.7065904,63.021427,66.312492,5.2787633,18.943613
1935,2018,.48348251,.94173235,-.51795548,-.045675803,66.312492,54.606838,1.3622526,.83368993,.121038,-1.469,0,.59248585,12.65651,.012331009,-5.9102378,49.213333,-9.0801773,63.571365,60.500183,-2.1853104,18.932108
1935,2019,.20253934,-.51795548,.48348251,-.019416012,60.500183,54.679615,.1892641,.94173235,1.3622526,1.25,0,.59248585,12.65651,.0018825531,-1.8796647,49.213333,4.9174681,66.277954,60.903267,-5.9102378,18.944439
1935,2020,-.084162071,.48348251,.20253934,.42907363,60.903267,59.774761,-.045675803,-.51795548,.1892641,-.59100002,0,.59248585,12.65651,-.014993668,-.32332152,49.213333,1.057255,57.197781,54.606838,-1.8796647,18.946321
1936,2017,-1.0401622,-2.6457634,-1.4838902,-2.4847109,41.811329,51.582417,-.34995735,-.48840553,-1.4738636,.78899997,0,.48523158,13.785724,-.0023117065,7.190218,44.375,5.1712351,58.743237,59.976276,-2.2044535,18.808908
1936,2018,.17261435,-1.4838902,-1.0401622,-1.1662794,59.976276,52.174686,-1.6100336,-2.6457634,-.34995735,-.92900002,0,.48523158,13.785724,.0071926117,-6.4049578,44.375,-2.5269513,49.898144,40.975609,7.190218,18.806597
