ID;Time;unempl_rate;ex_deaths;sh_susp;inc_pc;cigs;sh_pop_per;sh_short_term_contracts;dep_ratio;terf2020;avg_download_speed_dic2018;share_households_nointernet;share_ind_upto10k_2019;share_ind_above75k_2019;pop_2019;share_unigraduates_3034;avg_price_house_2019;share_amount_upto26k_2019;exp_games_pc_2019;dummy_sll_b_turistico;gini_index2019
1809;2020;0.22649999;-0.16717713;0.35682011;15306.633;0.001509348;0.022807529;0.1711154;0.52031934;-0.31740439;70.350464;0.090856738;0.39974764;0.014807889;255930;28.885458;660.16071;0.47756818;1249.5665;0;0.44403228
1810;2020;0.15109999;-8.5287771;0.36951432;12062.854;0.000187266;0.78024983;0.24944489;0.61665708;-1.1045814;44.906475;0.25582886;0.42179635;0.005034002;16498;25.771111;527.93982;0.65365511;988.34674;0;0.38685843
1811;2020;0.229;4.5339723;0.40348569;14124.518;0.00146569;1;0.13858069;0.5477199;-0.91950029;54.02076;0.081092909;0.4225792;0.007864793;30733;26.262501;861.25;0.50795066;1229.5476;0;0.4337104
1812;2020;0.2493;-4.324954;0.50776857;12236.25;0;1;0.1846244;0.51786113;-0.14298351;66.519119;0.033393893;0.46108082;0.007312841;13296;29.656666;958.33331;0.57841748;1238.9225;0;0.43519577
1814;2020;0.25600001;6.4841042;0.40974459;13132.739;0.000362253;1;0.20131373;0.53635591;-0.50703925;59.563683;0.045852199;0.39993671;0.004589697;21298;28.51;486.04166;0.61433983;1085.2649;0;0.40158516
1815;2020;0.22780001;0.0916223;0.32147199;9648.8135;0.000396314;0.38538864;0.33852682;0.55611062;-1.7674813;54.210732;0.19230255;0.52111357;0.00292172;30027;21.143637;550.56818;0.6846987;828.6358;0;0.40507078
1816;2020;0.2348;-19.541691;0.47540128;9927.6641;0.000304105;1;0.20178059;0.52531081;-0.64823371;54.512127;0.073742822;0.51959848;0.004233816;25369;23.417143;781.875;0.65775931;1200.0231;0;0.42114681
1817;2020;0.2057;-0.33534798;0.33538088;16344.624;0.001718874;0.018388815;0.16224451;0.53816396;-0.54177696;106.49991;0.050591618;0.3705588;0.017172124;144833;29.640741;640.24945;0.46260741;1382.1753;0;0.43501657
1818;2020;0.23979999;10.597404;0.45014662;9509.6426;0.000969227;1;0.23852006;0.62986445;-0.46948758;28.345297;0.064207844;0.52732629;0.003599869;14378;23.007273;551.70453;0.68051744;784.71033;0;0.4209283
1819;2020;0.21440001;-2.5661407;0.44203201;11233.665;8.8129E-05;0.5637235;0.27178195;0.51178694;-2.6260333;68.174583;0.10299122;0.46012235;0.004385965;28923;25.977777;602.08337;0.64973021;1243.0183;0;0.40250444
1820;2020;0.23979999;-1.78523;0.47990641;13909.02;0.000785434;0.78382128;0.20133187;0.54810613;-0.21778987;68.259727;0.092882656;0.44553104;0.014338035;40801;29.950834;756.10419;0.49187973;1526.4634;0;0.46074057
1821;2020;0.18780001;-2.1458457;0.3982577;12694.124;0.001046763;0.14396594;0.21415989;0.51685095;0.062143132;73.709511;0.11701645;0.44122544;0.00926812;127434;25.322916;575.9245;0.57488668;979.28308;0;0.42843777
1822;2020;0.21190001;5.4288068;0.37457892;11564.401;0;0.32689324;0.45545757;0.61124414;-0.60436046;68.861946;0.1001435;0.45674202;0.004384256;14968;26.419001;517.79169;0.67932165;1208.396;0;0.3896637
1823;2020;0.1592;-3.1404099;0.45642135;9221.502;0;0.1410096;0.56139266;0.57820076;-1.5355728;55.52832;0.2006028;0.54698265;0.004811119;25656;16.671667;512.38092;0.73066354;932.84607;0;0.37071621
1824;2020;0.17379999;-20.205208;0.39229617;10105.306;0;1;0.48052189;0.56497473;-2.7561235;50.548267;0.020366082;0.48590815;0.003914405;5752;25.147499;500.3125;0.72830451;1220.9929;0;0.37318125
1825;2020;0.2274;7.1412172;0.35698891;12663.871;0.000477825;0;0.2708168;0.5140717;-1.0887027;82.851334;0.047825877;0.45267412;0.008239978;57595;19.666;605.91071;0.57298273;1510.0411;0;0.42352569
1826;2020;0.2191;3.3846414;0.4319911;12267.761;0.000391359;0;0.30195248;0.53049934;0.1396699;83.403572;0.094687186;0.47288561;0.010159652;37563;26.15889;562.91998;0.56341469;1282.8896;0;0.43253276
