ID,Time,unempl_rate,excess_deaths,sh_susp_activ,income_pc,share_firms_stws,sh_pop_per,sh_short_term_contracts,dep_ratio,avg_download_speed,share_households_nointernet,pop,share_unigraduates_3034,avg_price_house,share_amount_upto26k,exp_games_pc,dummy_llm_tourism,gini_index
520,2020,.052099999,4.5031309,.45920563,22168.389,.001595072,0,.12797929,.59754598,42.999943,.03747512,76187,25.929523,889.68939,.44311821,542.69373,0,.36661711
521,2020,.048600003,-12.794772,.50871593,25262.254,.00025310001,.62172842,.13544057,.60648704,50.05843,.0094556054,9329,25.6175,3882.2915,.32390431,923.04669,1,.48154417
522,2020,.053000003,3.5568078,.5020563,19233.535,.00085492001,0,.13814406,.63984156,35.0438,.048974674,40711,24.014999,768.24652,.51279795,564.16882,0,.36311263
523,2020,.0462,-4.4571309,.42061248,19224.77,.00235079,.16224065,.12847035,.59974253,27.344378,.13566867,28037,23.67,774.59955,.51981598,474.54053,0,.3597959
524,2020,.046799999,3.6403146,.42436939,19840.006,0,0,.12628947,.67185813,28.204607,.045931611,13792,27.377777,1029.2593,.50054598,620.7287,0,.37752619
525,2020,.053400002,.79899812,.54462105,20870.113,.001220742,0,.11098191,.5242601,43.876095,.057282787,103980,22.453751,1099.4662,.45150247,517.76996,0,.3903783
526,2020,.060300004,15.50393,.58022708,22183.342,.001448154,0,.12231375,.57797575,50.525387,.10585873,99710,25.917778,1131.9722,.41484225,705.20038,0,.41129872
527,2020,.066599995,-12.082795,.62688941,20809.441,.001097293,0,.1150069,.55099058,43.065292,.033962384,93236,22.533333,1124.375,.46129501,563.11884,0,.40556464
528,2020,.045100003,1.494787,.60084885,20402.686,.001452925,0,.13314073,.54321641,35.093632,.24350457,77867,21.663334,1008.2986,.46359998,661.45905,0,.39781559
529,2020,.039999999,-11.539432,.64909226,18429.871,.0023861169,0,.1192723,.57861018,31.026949,.20442191,44291,22.893333,980.13892,.53527886,587.55939,0,.38757998
530,2020,.055,1.6418071,.49831241,23028.73,.00142018,0,.11853497,.55462712,69.494263,.02007832,306392,27.665237,1171.1652,.38437268,638.22076,0,.4114708
531,2020,.0616,1.8224418,.48265249,19410.32,.00154321,0,.1181708,.5950895,21.998411,.038751733,46339,23.550909,900.90906,.50575501,468.60126,0,.40316671
532,2020,.054400001,12.739805,.62071723,20656.174,.00045431801,0,.1183649,.60703969,52.665531,.14868593,66619,25.079,977.21667,.45235193,553.57825,0,.39049393
533,2020,.0704,-.49839535,.52576709,18087.785,.000174512,.76659334,.20127092,.53890294,76.168732,.031440455,51761,17.969999,1845.0695,.51199102,755.44775,1,.40190616
534,2020,.059499998,-1.6745371,.53668171,19457.613,.001222131,0,.15226777,.5908168,56.108997,.043518577,85388,21.352728,1273.8636,.48109582,698.09644,0,.38268414
535,2020,.058200002,-.97026795,.51667047,20581.756,.001264957,0,.15019937,.54419041,68.287483,.043020975,87634,22.881111,1198.5186,.45027587,612.53491,0,.38961512
536,2020,.059999999,6.6512856,.42952114,22045.789,.0020695089,0,.13756405,.59271044,272.94012,.029907804,607930,27.334211,1456.7277,.40074202,654.52826,0,.39685851
